id,name,surname,gender,date_of_birth,skills,hobbies
67,Nike,Đeković,M,1997-01-23,classify basic film genres:human biology:mineralogy:geomagnetism:botany:biodegradation:applied mathematics:computing and mathematics,volunteering:volleyball:horseback riding:gardening:gym:basketball:beekeeping:cooking:writing
22,Dinko,Gigović,M,1994-05-16,digital marketing:electroenergetics:web design:construction:mechatronics:engineering:electromachines:hidraulics:ecotechnology,reading:swimming:volleyball:gym:chess:beekeeping:netflix:football
86,Josip-benjamin,Dubovina,M,1999-11-21,philosophy:bioetics:comparative literature:Croatian dialects:anthropology:stylistics:basic computer skills:history:art history:pedagogy,gardening:netflix:chess:basketball:tennis:translating:reading:group sports:gym
50,Daria,Napijalo,F,1985-05-19,waste composting:hydrogen energy:electrochemistry:thermal engineering:fluid mechanics:corrosion stability of materials:statistical and numerical methods:nanomaterials and nanotechnologies:paper technology:structure and properties of materials:literacy,volleyball:skiing:diving:professional dancing:translating:knitting:videogaming:handmade crafts:volunteering
51,Cecil,Vorkapić,M,1987-09-03,roman law:consumer protection:ethics:constitutional law:criminology,beekeeping:translating:skiing:videogaming:netflix:diving:volleyball
80,Maltilda,Prlja,F,1999-09-08,ethics:bioetics:psychology of pain:justice system:anthropology:pedagogy:basic computer skills:logic:quantum chemistry:ontology:sociology,videogaming:translating:handmade crafts:chess:skiing:group sports:basketball
162,Dorija,Mišanović,F,1992-08-22,robotics in the food industry:laboratory analysis of food:toxicology:biotechnology:molecular biology:olive growing:organic chemistry:laboratory skills:meat and fish technology:beverage technology,football:horseback riding:netflix:volleyball:swimming
108,Branko,Tolović,M,1985-02-25,innovation management:hydrogen energy:electrochemistry:fluid mechanics:analytical chemistry:waste management:laboratory skills:energy management:mechanical engineering:nanomaterials and nanotechnologies,writing:football:beekeeping:chess:gym
143,Svjetlana,Dumanović,F,1988-12-18,machine construction:nuclear physics:CAD:fluid mechanics:computational simulation:robotics:tectonics:metalurgy:construction,skiing:handmade crafts:group sports:gardening:volunteering:tennis:basketball:reading:netflix
54,Klarisa,Škembarević,F,1984-02-14,robotics in the food industry:biotechnology:human biology:food quality control:molecular biology:knowledge of food technologies:organic chemistry:genetic engineering:bioinformatics programming,cooking:gardening:diving:tennis:handmade crafts:knitting:skiing:horseback riding:writing
137,Lorna,Tasovac,F,1988-06-07,classify basic film genres:principles of academic integrit:journalism:linguistics:communicology:public relations,tennis:professional dancing:horseback riding:beekeeping:diving:videogaming:skiing
177,Zara,Vukanović,F,1981-12-12,ethics:classify basic film genres:orthographic norms of the Croatian language:principles of academic integrit:microbiology:profesional whriting:literature:sociology:linguistics:reporting for magazines,netflix:writing:gardening:gym:diving:translating:tennis
132,Lucian,Vorkapić,M,1993-08-21,web design:fluid mechanics:analytical chemistry:knowledge of food technologies:meat and fish technology:beverage technology:bioinformatics programming,volleyball:skiing:chess:basketball:cooking:diving:writing:videogaming
93,Monika,Popratnjak,F,1996-10-14,automatics:economics:telecommunication:web design:mechatronics:organisation:geochemistry:electromachines:ecotechnology,skiing:tennis:writing:group sports:reading:gym:diving
173,Rita,Reljanović,F,1988-04-10,roman law:ethics:roman private law:death penalty:mechatronics:protection of victims:constitutional law:constitution:politics,tennis:group sports:professional dancing:volleyball:horseback riding:netflix:swimming:skiing:knitting
74,Nico,Rapajić,M,1989-11-04,CAD:fluid mechanics:statistical and numerical methods:engineering:numerical analysis:aerospace engineering:debating,handmade crafts:swimming:volleyball:reading
92,Dijana,Pecić,F,1998-03-27,python:machine construction:computer science:electroacoustics:java,group sports:knitting:gym:skiing:videogaming:chess:football:handmade crafts:horseback riding
63,Tomek,Rovinac,M,1995-05-13,reporting for magazines:orthographic norms of the Croatian language:journalism:communicology:film review:profesional whriting:public relations:theoretical physics,cooking:reading:knitting:beekeeping:football
88,Christina,Polovina,F,1985-01-22,python:classify basic film genres:stylistics:critical journalism:principles of academic integrit:communicology:grammatical norms of the Croatian language:stylistic norms of the Croatian language:reporting for magazines,skiing:tennis:videogaming:basketball:reading:cooking
34,Uršula,Jankov,F,1986-02-02,inorganic chemistry:petrochemical engineering:psychology of pain:eco-engineering:physical chemistry:knowledge of metallic materials:industrial biotransformations:simulink:paper technology:nanomaterials and nanotechnologies:artificial intelligence in chemical engineering,professional dancing:netflix:gardening:reading:football:basketball:videogaming
11,Franka,Tumara,F,1999-10-13,philosophy:web design:programming:electromachines:hidraulics,cooking:videogaming:basketball:netflix:knitting:skiing
147,Ilma,Ristović,F,2000-08-08,programming:robotics:statistics:electroacoustics:physics:java:C++,gardening:writing:volleyball:knitting:cooking
91,Aziz,Čikiriz,M,1996-09-17,telecommunication:web design:programming:robotics:organisation:graphical design:engineering:electromachines:machine learning,knitting:cooking:netflix:writing:gardening:professional dancing:translating:volleyball
94,Maša,Kutlačić,F,1996-02-14,automatics:mechatronics:graphical design:audiotechnology:operating systems,videogaming:professional dancing:diving:basketball:tennis
106,Judita,Lukin,F,1981-03-10,python:graphical design:mathematics:audiotechnology:operating systems:physics:java:aerospace engineering:C++,volleyball:writing:group sports:beekeeping:swimming:volunteering:professional dancing
118,Jan,Usović,M,1999-06-14,public relations:ethics:concepts of film:public speaking:basic computer skills:principles of academic integrit:orthographic norms of the Croatian language:mathematics in economics:journalism:linguistics:reporting for magazines,videogaming:beekeeping:football:professional dancing:group sports:netflix:handmade crafts:volleyball:reading
81,Lara,Čočak,F,1992-06-17,digital marketing:electroenergetics:programming:robotics:organisation:graphical design:electromachines:hidraulics:managment:ecotechnology,handmade crafts:basketball:professional dancing:knitting:cooking
45,Rina,Polovina,F,1999-05-02,eco-engineering:information sciences:environmental protection:mechatronics:waste management:simulink:laboratory skills:energy management,chess:professional dancing:handmade crafts:swimming:group sports
7,Teddy,Blizanjac,M,1985-10-07,critical journalism:orthographic norms of the Croatian language:philosophy of religion:reporting for magazines:debating,videogaming:gardening:skiing:swimming:volleyball:volunteering:netflix:chess
146,Anabel,Radijevac,F,1997-01-18,CAD:insurance law:artificial intelligence:shipbuilding:meat and fish technology:aerospace engineering,group sports:knitting:diving:cooking:swimming:tennis:netflix:basketball
84,Valter,Zrilić,M,1987-11-06,robotics in the food industry:consumer protection:inorganic chemistry:mineralogy:geomagnetism:botany:space management:oceanography:logic:psychology:meteorology:petrology,tennis:chess:professional dancing:football:videogaming:swimming:basketball
121,Tomislava,Radoičić,F,1998-03-28,justice system:mathematics and informatics-teaching:botany:space management:oceanography:applied mathematics:laboratory skills:literature:theoretical physics,professional dancing:volleyball:tennis:football:swimming:group sports
9,Viktoria,Gužvica,F,1980-12-13,quality management:laboratory analysis of food:waste composting:electrochemistry:eco-engineering:petrochemical engineering:tectonics:industrial biotransformations:simulink:paper technology:waste management:ontology:artificial intelligence in chemical engineering,handmade crafts:professional dancing:football:tennis:writing:volleyball:reading
126,Rade,Nijemčević,M,1996-08-12,consumer protection:roman private law:pension schemes:legal systems:death penalty:insurance law:oceanography:family law:political economy:protection of victims:C++,beekeeping:volleyball:translating:reading
97,Zdenko,Bodirogić,M,1992-06-02,pedagogy:metalurgy:archeology:ontology:sociology,writing:basketball:volleyball:skiing
60,Bero,Šogura,M,1988-04-16,concepts of film:public speaking:food quality control:communicology:public relations:presenting,skiing:professional dancing:horseback riding:translating:basketball
128,Antun,Rudnjanin,M,1981-06-12,biology and chemistry teaching:botany:mathematics teaching:knowledge of special species:organic chemistry:criminology:debating,translating:gym:basketball:netflix:knitting:tennis
174,Andreja,Radojčić,F,1991-11-08,python:biotechnology:inorganic chemistry:food quality control:GMO production:knowledge of food technologies:logic:laboratory skills:meat and fish technology:fat and oil technology,netflix:football:tennis:swimming
16,Ðino,Lukin,M,1994-02-23,electroenergetics:CAD:fluid mechanics:robotics:artificial intelligence:computational simulation:numerical analysis:shipbuilding:construction:aerospace engineering,netflix:handmade crafts:gardening:writing:knitting
192,Anđa,Krkeljić,F,1996-03-12,philosophy:roman private law:legal systems:public administration:political economy:debating,translating:writing:football:gym:skiing:diving
164,Norman,Kostreš,M,1981-02-23,philosophy:eco-engineering:psychology of pain:comparative literature:food management:information sciences:history:psychology:art history:sociology,gardening:professional dancing:horseback riding:tennis:football:handmade crafts:beekeeping
165,Aljoša,Marilović,F,1986-09-15,python:corrosion stability of materials:programming:statistics:data science:operating systems,professional dancing:group sports:beekeeping:tennis:videogaming:basketball:chess:horseback riding
179,Lana,Janićević,F,1997-08-17,ethics:classify basic film genres:comparative literature:thermal engineering:public speaking:principles of academic integrit:journalism:grammatical norms of the Croatian language:literature:public relations,knitting:translating:tennis:football
20,Bojan,Krstić,M,1987-07-12,biotechnology:eco-engineering:food management:GMO production:bioinformatics programming:microbiology:beverage technology:philosophy of religion:laboratory skills:literacy:fat and oil technology:design of biological processes:biochemistry,gardening:volunteering:horseback riding:cooking:gym:beekeeping:reading:chess
115,Venci,Divčević,M,1987-02-15,machine construction:CAD:food quality control:thermodynamics:physics:construction:managment:aerospace engineering,gardening:volleyball:chess:beekeeping:tennis:netflix:cooking
198,Vladimir,Polimanac,M,1989-04-11,food management:microbiology:fruit and vegetable technology:analytical chemistry,diving:reading:cooking:gardening:football:videogaming
124,Demijan,Rusmirović,M,1985-05-09,epidemiology:fruit and vegetable technology:food management:new food and technology:meat and fish technology:public relations,gym:translating:group sports:volunteering:reading:diving:horseback riding:tennis
66,Zlatan,Jankov,M,1997-03-14,automatics:electronics:web design:programming:electroacoustics:statistics:artificial intelligence:graphical design:engineering:java,swimming:cooking:tennis:translating:chess:skiing:reading
44,Zita,Ubavić,F,1986-02-03,human biology:mineralogy:experimental physics:mathematics teaching:statistics:thermodynamics:recognition and action in times of natural disasters:biophysics:theoretical physics,football:handmade crafts:volleyball:volunteering:videogaming:netflix:horseback riding
79,Predrag,Marilović,M,1984-10-03,automatics:roman law:economics:managment:programming:mechatronics:engineering:electromachines:construction:ontology:hidraulics:ecotechnology,volunteering:cooking:basketball:professional dancing:skiing:reading:horseback riding:gardening
145,Matrtin,Crnković,M,1999-03-09,automatics:human biology:electroenergetics:web design:construction:programming:hidraulics:ecotechnology,football:volunteering:professional dancing:cooking:writing:handmade crafts:knitting:translating
8,Vitomir,Miltenović,M,1993-02-24,innovation management:concepts of film:design of biological processes:stylistics:journalism:communicology:film review:structure and properties of materials:politics,writing:group sports:translating:skiing:beekeeping
149,Amina,Milačić,F,1995-10-25,ethics:criminal law:human biology:roman private law:legal systems:justice system:death penalty:protection of victims,netflix:writing:horseback riding:reading:handmade crafts
24,Tena,Đeković,F,1992-03-15,consumer protection:criminal law:cereal technology:justice system:insurance law:death penalty:political economy:constitutional law:criminology:kriminologija,reading:football:group sports:skiing:diving:swimming:tennis
161,Ida,Vujatović,F,1988-03-15,fruit and vegetable technology:artificial intelligence:data science:development:java,tennis:handmade crafts:chess:swimming:knitting:translating
52,Evelin,Kuzmančev,F,1991-07-10,automatics:computational simulation:engineering:shipbuilding:construction,horseback riding:netflix:videogaming:basketball:volleyball:chess:cooking
25,Rina,Jankov,F,1981-12-05,automatics:laboratory analysis of food:economics:telecommunication:robotics:organisation:engineering:graphical design:electromachines:shipbuilding:construction:managment:genetic engineering,translating:cooking:handmade crafts:gym
85,Šimun,Gužvica,M,1985-05-23,computational simulation:reporting for magazines:literacy:linguistics:paper technology:stylistic norms of the Croatian language:mathematics:literature:grammatical norms of the Croatian language:public relations:politics,cooking:tennis:football:netflix:volleyball:knitting
138,Anai,Gluvajić,F,1985-11-16,cereal technology:bacteriology:food quality control:molecular biology:microbiology:beverage technology:design of biological processes:bioinformatics programming,volleyball:gardening:handmade crafts:tennis:football:netflix:horseback riding:swimming:group sports
184,Ernest,Utješanović,M,2000-07-26,electrochemistry:pension schemes:legal systems:insurance law:information sciences:protection of victims:political economy:constitutional law:sociology:criminology:politics,diving:translating:reading:skiing:swimming:beekeeping:gardening:cooking
100,Tin,Topo,M,1995-04-17,criminal law:ethics:pension schemes:sociology:criminology:protection of victims:kriminologija,tennis:translating:volleyball:basketball:gardening
122,Wanda,Mrmak,F,1982-07-10,automatics:space engineering:machine construction:CAD:fluid mechanics:computational simulation:thermodynamics:physics:construction:managment,skiing:reading:volunteering:professional dancing:group sports:swimming
157,Rozalia,Špica,F,1998-09-01,computer science:web design:programming:artificial intelligence:statistics:biodegradation:audiotechnology:data science:operating systems:physics:java,professional dancing:handmade crafts:football:chess
127,Adrijan,Budimkić,M,1983-11-25,electrochemistry:petrochemical engineering:justice system:thermal engineering:environmental protection:analytical chemistry:thermodynamics:matlab:nanomaterials and nanotechnologies:artificial intelligence in chemical engineering:bioinformatics programming,netflix:tennis:horseback riding:swimming
19,Klara,Varevac,F,1987-03-21,computer science:classify basic film genres:comparative literature:mineralogy:mathematics teaching:journalism:literacy:literature:public relations:politics:debating,gardening:volunteering:knitting:basketball
191,Inkret,Košpić,M,1995-04-22,automatics:physics:electronics:web design:electroacoustics:graphical design:data science:quantum chemistry:java:design of biological processes,cooking:group sports:writing:knitting:netflix:reading:swimming
83,Petrik,Đukić,M,1981-04-17,mathematics and informatics-teaching:botany:recognition of environmental hazards:artificial intelligence in chemical engineering:stratigraphy,football:knitting:swimming:gardening:beekeeping:videogaming
14,Darijan,Raščanin,M,1996-04-22,digital marketing:web design:programming:robotics:mechatronics:hidraulics:ecotechnology,videogaming:group sports:skiing:beekeeping
113,Ivo,Ćulić,M,1991-06-22,innovation management:waste composting:public administration:physical chemistry:environmental protection:industrial biotransformations:simulink:waste management:quantum chemistry:mechanical engineering,skiing:group sports:chess:beekeeping:professional dancing:cooking:volunteering:translating
190,Miriam,Ćetković,F,1986-09-17,digital marketing:telecommunication:web design:robotics:mechatronics:organisation:constitutional law:electromachines:managment:nanomaterials and nanotechnologies:ecotechnology,swimming:diving:knitting:netflix:volleyball:chess
5,Fani,Mitranović,F,1987-06-18,psychology:ethics:stylistics:journalism:art history:astrophysics:stoichiometry:linguistics,reading:swimming:videogaming:basketball:handmade crafts
166,Magdalena,Sovilj,F,2000-07-09,python:bioetics:electronics:film review:development:java,swimming:tennis:chess:group sports:volunteering:translating:football:reading
170,Mura,Đeković,F,1992-07-23,automatics:electroenergetics:telecommunication:construction:botany:robotics:programming:electromachines:hidraulics:managment:ecotechnology,football:netflix:videogaming:tennis
158,Kira,Jež,F,1983-12-04,automatics:computer science:electronics:web design:audiotechnology:physics:sociology:genetic engineering:C++,group sports:diving:volleyball:reading:gardening:handmade crafts
176,Josko-heribert,Blidarević,M,1986-09-22,space engineering:robotics:thermodynamics:engineering:physics:construction:managment:aerospace engineering,football:swimming:knitting:group sports:writing:cooking:gardening:professional dancing
6,Šimun,Rauković,M,1988-09-24,roman law:biotechnology:legal systems:insurance law:numerical analysis:linguistics:political economy:protection of victims,videogaming:reading:diving:professional dancing:gym
21,Simona,Zavišin,F,1983-12-11,robotics in the food industry:fruit and vegetable technology:public speaking:biodegradation:new food and technology:meat and fish technology:machine learning:genetic engineering:fat and oil technology,basketball:gardening:group sports:beekeeping:tennis:knitting:reading:writing:horseback riding
61,Nuša,Grujesković,F,1998-02-22,space engineering:electroenergetics:construction:food quality control:fluid mechanics:metalurgy:thermodynamics:engineering:numerical analysis:meat and fish technology:aerospace engineering,football:gym:group sports:netflix:volunteering:knitting:videogaming:writing:tennis
57,Loris,Rastović,M,1998-03-24,thermal engineering:physical chemistry:environmental protection:knowledge of metallic materials:industrial biotransformations:thermodynamics:matlab:nanomaterials and nanotechnologies,handmade crafts:skiing:football:beekeeping
12,Lasta,Tasovac,F,1989-06-11,nutrition:human biology:design of biological processes:meat and fish technology:genetic engineering:theoretical physics:beverage technology,diving:basketball:translating:gardening:swimming:group sports:football
104,Gaj,Dražović,M,1987-07-13,computer science:legal systems:programming:robotics:artificial intelligence:engineering:audiotechnology:operating systems:mathematics:java:C++,reading:basketball:videogaming:beekeeping:skiing:volleyball:swimming
1,Dali,Tolović,F,1988-09-26,ethics:Croatian dialects:information sciences:anthropology:stylistics:literature:history:psychology:art history,volleyball:netflix:translating:gardening:horseback riding:handmade crafts:reading
76,Arnella,Trninić,F,1993-05-18,machine construction:fluid mechanics:mechatronics:thermodynamics:physics:construction:managment:aerospace engineering,netflix:professional dancing:volunteering:translating:horseback riding:diving
99,Željko,Stepić,M,1989-02-01,philosophy:bioetics:ethics:stylistics:basic computer skills:journalism:logic:ontology:sociology:experimental psychology,chess:diving:translating:handmade crafts:swimming:beekeeping:reading
10,Matej-luka,Dabesković,M,1999-09-10,space engineering:seismology:inorganic chemistry:analytical chemistry:tectonics:medical physics,horseback riding:professional dancing:skiing:knitting
69,Anamaria,Prlja,F,1990-04-26,automatics:computer science:robotics:development:graphical design:audiotechnology:data science:mathematics:machine learning:C++,swimming:basketball:gardening:football:professional dancing
65,Andrik,Todorinović,M,1988-05-09,philosophy:bioetics:information sciences:pedagogy:stylistics:sociology:linguistics,professional dancing:beekeeping:swimming:videogaming:handmade crafts:tennis
15,Ela,Gluvajić,F,1995-07-12,ontology:information sciences:stylistics:basic computer skills:archeology:literature:philosophy of culture,knitting:videogaming:horseback riding:reading:handmade crafts:volunteering:skiing:professional dancing
47,Anđelić,Glavonić,M,1992-12-19,automatics:programming:statistics:operating systems:physics:java:zoology,reading:handmade crafts:football:videogaming:writing:skiing:tennis
55,Nera,Prekodravac,F,1996-06-11,automatics:electronics:death penalty:programming:robotics:electroacoustics:thermodynamics:engineering:constitutional law:audiotechnology:graphical design:operating systems:machine learning,skiing:gym:basketball:writing
73,Nereo,Ravnjaković,M,1988-07-15,robotics in the food industry:toxicology:bacteriology:food quality control:geology:knowledge of food technologies:knowledge of special species:olive growing:molecular biology:organic chemistry:laboratory skills,chess:knitting:gym:gardening:tennis
123,Miroslav,Vukanović,M,1996-05-13,automatics:hydrogen energy:computer science:physics:robotics:audiotechnology:operating systems:mathematics:machine learning,volunteering:football:videogaming:beekeeping
186,Fuma,Tepavac,F,1991-09-20,public relations:critical journalism:stylistics:industrial biotransformations:reporting for magazines:journalism:communicology:stylistic norms of the Croatian language:sociology:linguistics:presenting,skiing:diving:gym:knitting:beekeeping
38,Nikol,Korkodelović,F,1995-06-28,automatics:electroenergetics:telecommunication:web design:knowledge of energy sources:mechatronics:electromachines:managment,videogaming:handmade crafts:knitting:netflix
103,Teodor,Aćimovac,M,1991-06-02,classify basic film genres:concepts of film:comparative literature:chemistry teaching:environmental protection:principles of academic integrit:journalism:stylistic norms of the Croatian language:reporting for magazines,professional dancing:writing:volleyball:tennis:horseback riding:swimming
180,Rujana,Ždrale,F,1987-11-12,fruit and vegetable technology:linguistics:communicology:public relations:politics,volunteering:gym:swimming:cooking:volleyball
197,Lukša,Zubić,M,1990-08-10,automatics:electroenergetics:web design:construction:programming:knowledge of metallic materials:organisation:engineering:electromachines:hidraulics:managment:meteorology,horseback riding:football:swimming:volleyball:gym:handmade crafts:basketball
172,Mate,Janićević,M,1987-03-03,petrochemistry:nuclear physics:thermal engineering:botany:experimental physics:oceanography:geochemistry:medical physics:paleontology:stratigraphy,chess:volunteering:videogaming:gardening:writing:cooking:beekeeping:netflix
134,Ruža,Radovac,F,1987-01-05,philosophy:ethics:psychology of pain:death penalty:constitutional law:constitution:java:politics,professional dancing:basketball:cooking:videogaming:translating:volunteering:group sports
131,Buga,Šukurma,F,1985-10-02,automatics:space engineering:robotics:artificial intelligence:mechatronics:thermodynamics:metalurgy:numerical analysis:shipbuilding:aerospace engineering,volleyball:basketball:gym:volunteering:reading:knitting
62,Hermina,Vlaški,F,1996-04-10,inorganic chemistry:telecommunication:chemistry teaching:mathematics and informatics-teaching:knowledge of energy sources:molecular biology:analytical chemistry:oceanography:logic:geochemistry:medical physics:genetic engineering:debating,knitting:videogaming:diving:handmade crafts:reading:chess:gardening:writing
107,Anðelka-ana,Obrovački,F,1995-07-06,automatics:digital marketing:economics:managment:robotics:mechatronics:organisation:journalism:engineering:electromachines:graphical design:ontology,volleyball:knitting:tennis:horseback riding:group sports:translating
178,Ivan-blaž,Đeković,M,1998-10-25,ethics:justice system:insurance law:constitution:family law:beverage technology,diving:volunteering:skiing:tennis:gardening:professional dancing:chess
13,Luna,Šukurma,F,1993-12-22,automatics:digital marketing:seismology:robotics:mechatronics:construction,gym:group sports:diving:tennis:swimming:netflix:knitting
68,Kenan,Milaković,M,1986-05-27,classify basic film genres:presenting:stylistics:critical journalism:principles of academic integrit:organisation:grammatical norms of the Croatian language:literacy:reporting for magazines,skiing:gardening:horseback riding:gym:reading:volunteering:knitting
169,Zvjezdana,Dumanović,F,1987-03-25,inorganic chemistry:petrochemical engineering:CAD:fluid mechanics:laboratory skills,volleyball:writing:chess:swimming:gardening:translating:videogaming
159,Rozalija,Čolanović,F,1990-07-02,comparative literature:public speaking:reporting for magazines:principles of academic integrit:communicology:grammatical norms of the Croatian language:profesional whriting:film review:recognition of environmental hazards:politics,tennis:swimming:football:writing:basketball:volunteering
40,Tibor,Repija,M,1986-08-13,anthropology:basic computer skills:archeology:logic:philosophy of religion:psychology:pedagogy:linguistics,reading:translating:volunteering:knitting:skiing
72,Tomek,Miltenović,M,1992-09-20,comparative literature:electronics:basic computer skills:history:archeology:psychology:philosophy of culture:art history,gym:knitting:volunteering:skiing:writing:chess
90,Zdravko,Grujanić,M,1985-05-20,laboratory analysis of food:nutrition:inorganic chemistry:bacteriology:human biology:thermal engineering:GMO production:analytical chemistry:olive growing:microbiology:meat and fish technology:fat and oil technology,volunteering:football:group sports:tennis:writing:videogaming
163,Tanja,Prlinčević,F,1991-09-23,bacteriology:food management:biodegradation:molecular biology:microbiology:physics:fat and oil technology:design of biological processes:biochemistry,swimming:gardening:football:gym:horseback riding:knitting:netflix:translating
171,Christian,Balatinac,M,1998-03-15,laboratory analysis of food:programming:electroacoustics:data science:philosophy of religion:java:machine learning,videogaming:volunteering:diving:group sports:netflix:swimming
64,Yousef,Biberčić,M,1995-10-06,automatics:python:cereal technology:CAD:electronics:programming:statistics:mathematics and physics teaching,knitting:skiing:horseback riding:netflix
41,Sebastijan,Zundanović,M,1992-04-22,automatics:economics:electroenergetics:CAD:fluid mechanics:robotics:mechatronics:artificial intelligence:thermodynamics:computational simulation:engineering:meteorology,writing:chess:handmade crafts:professional dancing:football:reading:beekeeping
156,Potjeh,Milovanov,M,1994-06-20,automatics:digital marketing:economics:electroenergetics:web design:programming:robotics:engineering:graphical design,translating:gardening:handmade crafts:netflix:horseback riding:beekeeping:tennis
183,Mihovil,Jelača,M,1999-08-02,bioetics:ethics:comparative literature:psychology of pain:mathematics teaching:history:literacy:philosophy of religion:psychology:linguistics,skiing:diving:knitting:videogaming:gardening:tennis:handmade crafts
185,Enya,Ravnjaković,F,1984-02-10,electrochemistry:corrosion stability of materials:knowledge of metallic materials:industrial biotransformations:organic photochemistry:quantum chemistry,netflix:football:swimming:volunteering:handmade crafts:knitting:tennis
95,Helen,Budimkić,F,1988-12-10,machine construction:physics:electroenergetics:computational simulation:artificial intelligence:mechatronics:engineering:shipbuilding:construction:managment:meteorology:presenting,tennis:translating:chess:skiing:volunteering:cooking:gardening
43,Erik,Prlinčević,M,1995-04-28,consumer protection:pension schemes:justice system:legal systems:criminology:politics,skiing:football:basketball:writing:reading:videogaming:tennis
116,Marin,Karadaglić,M,1991-03-06,electronics:programming:robotics:electroacoustics:graphical design:data science:engineering:audiotechnology:java:mechanical engineering:C++,knitting:gardening:professional dancing:tennis:beekeeping
130,Stefano,Pavitović,M,1981-07-23,literacy:logic:bioetics:psychology of pain,football:reading:tennis:skiing:group sports:knitting:gardening
101,Milos,Babin,M,1982-07-26,biotechnology:computational simulation:microbiology:fat and oil technology:biochemistry,gym:skiing:professional dancing:gardening:football:chess:basketball:netflix
77,Vanja,Vorkapić,F,1996-05-27,theoretical mathematics:mineralogy:knowledge of energy sources:analytical chemistry:tectonics:logic:computing and mathematics:pedagogy:paleontology:politics,handmade crafts:horseback riding:professional dancing:translating:skiing:volleyball
153,Kruno,Veljić,M,1994-11-16,comparative literature:Croatian dialects:information sciences:journalism:philosophy of culture:art history:linguistics,writing:handmade crafts:horseback riding:cooking:professional dancing:gym
144,Ante-tony,Kostrešević,M,1993-04-07,space engineering:automatics:machine construction:robotics:engineering:ontology:design of biological processes,tennis:gardening:handmade crafts:volleyball:translating
109,Roman,Romić,M,1992-09-26,machine construction:electroenergetics:experimental physics:robotics:artificial intelligence:computational simulation:physics:computing and mathematics,gym:handmade crafts:gardening:chess:netflix:videogaming:group sports
49,Denis,Prekodravac,M,1990-04-19,philosophy:criminal law:web design:death penalty:sociology,football:translating:reading:cooking:basketball:volunteering:professional dancing:group sports:swimming
71,Rebeka,Ulemek,F,1981-07-28,consumer protection:ethics:pension schemes:public administration:robotics:environmental expert:constitution:family law:criminology:theoretical physics:kriminologija,horseback riding:beekeeping:volunteering:diving:netflix:swimming:tennis
48,Katarina,Šubašić,F,1998-01-10,automatics:programming:robotics:artificial intelligence:mechatronics:philosophy of religion:physics:managment:aerospace engineering,football:translating:chess:volunteering:writing:group sports:netflix:gym
